Score,Ranked,Genres,Type,Episodes,Diffusion started,Diffusion ended,Season diffused,Producers,Licensors,Studios,Source,Rating,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Year
6.52,3424,"Comedy, Slice of Life",TV,12.0,2018-01-04,2018-03-22,Winter 2018,"Sotsu, KlockWorx, flying DOG, Grooove, Cygames, Crunchyroll SC Anime Fund",Unknown,"Studio Gokumi, AXsiZ",Manga,PG-13 - Teens 13 or older,49788,63,5394,20757.0,2079,6327.0,15231.0,2018.0
6.52,3425,"Action, Comedy, Historical, Samurai, Shounen",Movie,1.0,2018-11-17,2018-11-17,Fall 2018,Showgate,Unknown,White Fox,Manga,R - 17+ (violence & profanity),2698,7,104,414.0,51,49.0,2080.0,2018.0
6.52,3426,"Adventure, Fantasy",Movie,1.0,2019-04-26,2019-04-26,Spring 2019,"Aniplex, Dentsu, Fuji TV, Warner Bros. Japan",Eleven Arts,Signal.MD,Book,PG-13 - Teens 13 or older,12860,12,371,3839.0,175,0.0,0.0,2019.0
6.52,3427,"Action, Adventure, Fantasy, Harem",TV,13.0,2019-07-08,2019-10-07,Summer 2019,"AT-X, Sony Music Communications, Bushiroad, Toranoana, Hakuhodo DY Music & Pictures, Overlap, FuRyu, Bandai Namco Arts",Funimation,"Asread, White Fox",Light novel,PG-13 - Teens 13 or older,353554,3766,27069,229911.0,4718,26657.0,65199.0,2019.0
6.52,3428,"Slice of Life, Comedy, Kids",TV,13.0,2019-10-01,2019-12-24,Fall 2019,Unknown,Unknown,"TMS Entertainment, Gathering",Original,G - All Ages,8694,19,598,5147.0,216,337.0,2396.0,2019.0
6.52,3429,"Slice of Life, Comedy",TV,12.0,2019-10-07,2019-12-23,Fall 2019,"Pony Canyon, Movic, Bandai Namco Live Creative, Ai Addiction, Sammy, Kadokawa Media House, Kadokawa, pH Studio",Funimation,HOTZIPANG,Web manga,PG-13 - Teens 13 or older,19052,43,1913,5830.0,907,3648.0,0.0,2019.0
6.52,3430,"Action, Music, Supernatural, Magic, Fantasy",ONA,1.0,2019-12-31,2019-12-31,Fall 2019,"A-1 Pictures, Half H.P Studio",Unknown,Unknown,Light novel,PG-13 - Teens 13 or older,3219,7,133,1800.0,45,39.0,1202.0,2019.0
6.52,3431,"Action, Seinen",ONA,1.0,2020-01-04,2020-01-04,Winter 2020,Unknown,Unknown,Unknown,Manga,PG-13 - Teens 13 or older,3411,2,263,1268.0,74,56.0,1750.0,2020.0
6.518518518518518,3432,Comedy,Movie,1.0,2001-12-15,2001-12-15,Fall 2001,Bliss Pictures,Unknown,Unknown,Unknown,G - All Ages,308,1,12,153.0,6,38.0,99.0,2001.0
6.51,3433,"Music, Drama",TV,26.0,1971-04-08,1971-09-30,Spring 1971,Mushi Production,Unknown,Unknown,Manga,PG-13 - Teens 13 or older,1164,3,86,298.0,48,117.0,615.0,1971.0
6.51,3434,"Slice of Life, Drama, Shoujo",Movie,1.0,1978-03-18,1978-03-18,Winter 1978,Unknown,Unknown,Toei Animation,Unknown,G - All Ages,1699,2,47,961.0,40,0.0,591.0,1978.0
6.51,3435,"Space, Drama, Sci-Fi",Special,1.0,1979-10-11,1979-10-11,Fall 1979,Unknown,Discotek Media,Toei Animation,Manga,G - All Ages,1452,1,44,635.0,42,51.0,680.0,1979.0
6.51,3436,"Action, Mecha, Sci-Fi",OVA,1.0,1987-04-15,1987-04-15,Spring 1987,Ashi Production,Unknown,Production Reed,Unknown,PG-13 - Teens 13 or older,1357,2,53,636.0,32,35.0,601.0,1987.0
6.51,3437,"Action, Adventure, Historical, Demons, Martial Arts, Samurai, Shounen",OVA,7.0,1993-11-25,1995-03-25,Fall 1993,Pioneer LDC,Geneon Universal Entertainment,AIC,Novel,R - 17+ (violence & profanity),2102,3,83,951.0,40,47.0,981.0,1993.0
6.51,3438,"Action, Comedy, Military, Romance, Shounen",OVA,7.0,1994-10-21,1996-08-21,Fall 1994,Unknown,ADV Films,Studio Fantasia,Manga,R+ - Mild Nudity,6218,13,243,3191.0,199,248.0,2337.0,1994.0
6.51,3439,"Action, Drama, Mecha, Military, Sci-Fi, Space",Movie,1.0,2002-02-09,2002-02-09,Winter 2002,"Sotsu, Atelier Musa",Unknown,Sunrise,Unknown,PG-13 - Teens 13 or older,3956,0,93,1871.0,99,114.0,1779.0,2002.0
6.51,3440,"Adventure, Comedy, Fantasy, Kids",Movie,1.0,2002-07-13,2002-07-13,Summer 2002,Unknown,"4Kids Entertainment, Miramax Films",OLM,Game,PG - Children,15621,9,121,13247.0,114,153.0,1986.0,2002.0
6.51,3441,"Adventure, Fantasy, Kids, Slice of Life",Special,1.0,2006-01-03,2006-01-03,Winter 2006,Unknown,Unknown,Studio Ghibli,Original,G - All Ages,2251,1,61,480.0,66,92.0,1552.0,2006.0
6.51,3442,"Comedy, Slice of Life",Special,3.0,2006-05-25,2006-09-22,Spring 2006,Unknown,Unknown,Arms,Manga,PG-13 - Teens 13 or older,4021,4,96,2479.0,82,62.0,1302.0,2006.0
6.51,3443,Comedy,Special,9.0,2010-07-30,2011-03-16,Summer 2010,Unknown,Sentai Filmworks,Kyoto Animation,Original,G - All Ages,35404,78,793,24212.0,660,640.0,9099.0,2010.0
6.51,3444,"Action, Military, Sci-Fi, Drama, Mecha",OVA,1.0,2010-11-06,2010-11-06,Fall 2010,Unknown,Unknown,Sunrise,Original,R - 17+ (violence & profanity),2495,3,50,1515.0,33,0.0,843.0,2010.0
6.51,3445,"Action, Comedy, Military, Seinen",ONA,10.0,2012-04-07,2012-06-09,Spring 2012,"DAX Production, Nippon Columbia",Sentai Filmworks,Xebec,Manga,R - 17+ (violence & profanity),63453,160,3294,34305.0,2173,4665.0,19016.0,2012.0
6.51,3446,"Parody, Seinen",TV,13.0,2013-04-03,2013-06-26,Spring 2013,"TV Tokyo, Ajia-Do, North Stars Pictures",Sentai Filmworks,Unknown,Manga,PG-13 - Teens 13 or older,3253,6,167,1477.0,138,0.0,1205.0,2013.0
6.51,3447,"Comedy, Game",TV,13.0,2014-10-08,2014-12-24,Fall 2014,Sega,Discotek Media,TMS Entertainment,Other,PG-13 - Teens 13 or older,10523,48,601,5469.0,479,1097.0,2877.0,2014.0
6.51,3448,"Action, Comedy, Romance, Fantasy, School, Shounen",TV,12.0,2014-10-10,2014-12-26,Fall 2014,"Pony Canyon, TBS, DAX Production, Daiichikosho, Shogakukan",Funimation,Production IMS,Light novel,PG-13 - Teens 13 or older,129384,471,8357,66515.0,5031,11877.0,37604.0,2014.0
6.51,3449,"Action, Harem, Supernatural, Romance, Ecchi, School",TV,12.0,2015-01-04,2015-03-22,Winter 2015,"Half H.P Studio, AT-X, feng, Showgate",Funimation,8bit,Light novel,R - 17+ (violence & profanity),425840,1478,18250,320572.0,8840,0.0,56658.0,2015.0
6.51,3450,"Action, Adventure, Comedy, Drama",TV,12.0,2015-01-11,2015-03-29,Winter 2015,"Yomiuri Telecasting, Starchild Records, Lantis, Half H.P Studio",Funimation,Tatsunoko Production,Original,PG-13 - Teens 13 or older,29299,29,1830,12811.0,1868,4543.0,8247.0,2015.0
6.51,3451,"Action, Ecchi, School, Shounen",OVA,1.0,2015-11-02,2015-11-02,Fall 2015,DAX Production,Sentai Filmworks,Xebec,Manga,R+ - Mild Nudity,18430,8,612,11499.0,233,0.0,5935.0,2015.0
6.51,3452,"Drama, Romance, School, Shoujo Ai",TV,12.0,2018-01-06,2018-03-24,Winter 2018,"Sotsu, Lantis, AT-X, KlockWorx, Happinet Pictures, BS Fuji, Tokyo MX, Infinite, Children's Playground Entertainment, Ichijinsha, Crunchyroll SC Anime Fund",Funimation,Passione,Manga,PG-13 - Teens 13 or older,340760,3861,29452,197345.0,10886,30291.0,72786.0,2018.0
6.51,3453,"Adventure, Comedy, Sci-Fi, Space",TV,12.0,2019-04-08,2019-06-24,Spring 2019,"Sotsu, Pony Canyon",Funimation,Studio Comet,Original,PG-13 - Teens 13 or older,26641,71,2656,8461.0,1188,4625.0,9711.0,2019.0
6.51,3454,"Action, Adventure, Fantasy",TV,12.0,2019-07-04,2019-09-19,Summer 2019,Unknown,Funimation,EKACHI EPILKA,Light novel,PG-13 - Teens 13 or older,145983,462,12543,92992.0,2546,13109.0,24793.0,2019.0
6.51,3455,"Action, Historical, Drama, Samurai",TV,12.0,2019-07-08,2019-09-23,Summer 2019,"WOWOW, Genco, MediaNet, AT-X, Tokuma Shoten, flying DOG, BS Fuji, 81 Produce, Tokyo MX, Docomo Anime Store, Happinet",Funimation,Studio Deen,Original,PG-13 - Teens 13 or older,22065,54,2357,7244.0,744,0.0,9182.0,2019.0
6.51,3456,"Comedy, Romance, Ecchi, Fantasy",TV,12.0,2020-07-12,2020-09-27,Summer 2020,"Magic Capsule, Hakuhodo DY Music & Pictures, Bandai Namco Arts",Unknown,Arvo Animation,Light novel,PG-13 - Teens 13 or older,114585,293,18071,54007.0,2698,0.0,29507.0,2020.0
6.5092592592592595,3457,"Adventure, Historical, Sports, Martial Arts",TV,47.0,1973-10-03,1974-09-25,Fall 1973,Unknown,Discotek Media,TMS Entertainment,Manga,PG-13 - Teens 13 or older,891,3,60,148.0,38,0.0,556.0,1973.0
6.5,3458,"Sci-Fi, Adventure, Space, Drama, Mecha, Shounen",TV,34.0,1980-06-30,1981-01-25,Spring 1980,Kokusai Eigasha,Discotek Media,Production Reed,Unknown,PG-13 - Teens 13 or older,1603,6,97,418.0,74,106.0,908.0,1980.0
6.5,3459,"Historical, Drama, Romance",TV,32.0,1986-04-25,1986-12-26,Spring 1986,Unknown,Unknown,Nippon Animation,Other,R+ - Mild Nudity,1434,2,103,200.0,82,106.0,943.0,1986.0
6.5,3460,"Action, Sci-Fi, Adventure, Comedy, Mecha",TV,50.0,1991-02-19,1992-02-18,Winter 1991,"TV Tokyo, Sotsu",Unknown,Tokyo Movie Shinsha,Original,PG-13 - Teens 13 or older,583,2,32,226.0,22,72.0,231.0,1991.0
