Score,Ranked,Genres,Type,Episodes,Diffusion started,Diffusion ended,Season diffused,Producers,Licensors,Studios,Source,Rating,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Year
7.33,1470,"Action, Mecha, Military",Movie,1.0,2015-05-02,2015-05-02,Spring 2015,"Bandai Visual, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Funimation,Sunrise,Original,R - 17+ (violence & profanity),90401,105,1283,60443.0,748,456.0,27471.0,2015.0
7.33,1471,"Comedy, Ecchi, School",TV,12.0,2015-07-04,2015-09-19,Summer 2015,"Frontier Works, Shogakukan-Shueisha Productions, Genco, Starchild Records, AT-X, KlockWorx",Funimation,J.C.Staff,Light novel,R+ - Mild Nudity,557478,3142,32748,383747.0,15423,20101.0,0.0,2015.0
7.33,1472,"Action, Adventure, Magic, Fantasy",Movie,1.0,2016-08-19,2016-08-19,Summer 2016,Unknown,Unknown,Mili Pictures,Game,PG - Children,3733,15,122,1359.0,67,0.0,2114.0,2016.0
7.33,1473,"Action, Comedy, Super Power",Special,1.0,2017-03-25,2017-03-25,Winter 2017,Unknown,Funimation,Bones,Manga,PG-13 - Teens 13 or older,122074,737,3468,97241.0,825,1313.0,19227.0,2017.0
7.33,1474,"Action, Drama, Mecha, Romance, Sci-Fi",TV,24.0,2018-01-13,2018-07-07,Winter 2018,"Aniplex, Khara, Movic, Ultra Super Pictures, Lucent Pictures Entertainment, Tokyo MX, Nagoya Broadcasting Network, Asahi Broadcasting, BS11, Lawson, ABC Animation, Rialto Entertainment",Funimation,"A-1 Pictures, Trigger, CloverWorks",Original,PG-13 - Teens 13 or older,988865,23885,103972,660081.0,25987,53880.0,144945.0,2018.0
7.33,1475,"Adventure, Music, Comedy, Drama, School, Seinen",TV,12.0,2018-04-09,2018-07-02,Spring 2018,NHK,Unknown,Gaina,Manga,PG-13 - Teens 13 or older,82718,256,6276,40516.0,3172,0.0,0.0,2018.0
7.33,1476,"Harem, Comedy, Romance, School, Shounen",TV,13.0,2019-04-07,2019-06-30,Spring 2019,"Aniplex, Movic, Barnum Studio, Magic Capsule, Shueisha, BS11, ADK",Aniplex of America,"Silver, Arvo Animation",Manga,PG-13 - Teens 13 or older,263544,1253,19877,168591.0,5619,10235.0,59222.0,2019.0
7.33,1477,"Cars, Comedy, Historical",TV,13.0,2020-04-10,2020-09-25,Spring 2020,"Lantis, AT-X, Docomo Anime Store, Sammy, Kadokawa Media House, Kadokawa, Bandai Namco Arts, Bit Promotion",Funimation,P.A. Works,Original,PG-13 - Teens 13 or older,89963,360,14085,32245.0,4085,0.0,34215.0,2020.0
7.32,1478,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5.0,1993-02-21,1994-05-17,Winter 1993,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AnimEigo,AIC,Manga,PG-13 - Teens 13 or older,46428,267,993,34581.0,860,0.0,9100.0,1993.0
7.32,1479,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39.0,1996-04-05,1996-12-28,Spring 1996,"TV Asahi, Sotsu",Nozomi Entertainment,Sunrise,Original,PG-13 - Teens 13 or older,28862,189,1554,15987.0,1746,0.0,8592.0,1996.0
7.32,1480,"Slice of Life, Supernatural, Drama, Romance",TV,12.0,2005-01-07,2005-03-25,Winter 2005,"Pony Canyon, TBS, Movic","ADV Films, Funimation",Kyoto Animation,Visual novel,PG-13 - Teens 13 or older,259381,2704,7367,170036.0,8109,0.0,63877.0,2005.0
7.32,1481,"Action, Supernatural, Vampire",TV,24.0,2005-04-29,2005-10-28,Spring 2005,Unknown,Funimation,Gonzo,Light novel,R - 17+ (violence & profanity),158343,1479,7794,87958.0,8940,9349.0,44302.0,2005.0
7.32,1482,"Adventure, Fantasy, Shounen",TV,51.0,2006-04-02,2007-03-25,Spring 2006,"Aniplex, Ashi Production, Sony Music Entertainment","ADV Films, Sentai Filmworks",Madhouse,Original,PG-13 - Teens 13 or older,68142,465,4079,34807.0,4356,0.0,19815.0,2006.0
7.32,1483,"Action, Horror, Sci-Fi, Shoujo Ai, Supernatural",TV,6.0,2008-02-04,2008-07-07,Winter 2008,"VAP, Sotsu, Genco, AT-X, Showgate",Funimation,Xebec,Original,R+ - Mild Nudity,152677,1036,7851,76491.0,5438,4638.0,58259.0,2008.0
7.32,1484,"Parody, Comedy, Romance, Music",Special,1.0,2008-07-11,2008-07-11,Summer 2008,Unknown,Unknown,Studio 4°C,Manga,R - 17+ (violence & profanity),21432,22,209,17055.0,126,174.0,0.0,2008.0
7.32,1485,"Comedy, Romance, School, Shounen",OVA,2.0,2008-07-17,2008-09-17,Summer 2008,Kodansha,Unknown,Studio Comet,Manga,PG-13 - Teens 13 or older,55150,107,738,42570.0,671,400.0,10771.0,2008.0
7.32,1486,"Adventure, Drama, Fantasy",TV,26.0,2008-10-03,2009-03-28,Fall 2008,"Bandai Visual, Animax, Bandai Namco Games, Atelier Musa","Funimation, Bandai Entertainment",Sunrise,Game,PG-13 - Teens 13 or older,109058,590,6952,54066.0,6075,6559.0,35406.0,2008.0
7.32,1487,"Comedy, School, Shounen, Supernatural",TV,13.0,2008-10-04,2008-12-27,Fall 2008,"Aniplex, Sony Music Entertainment, Ichijinsha",Bandai Entertainment,"A-1 Pictures, Ordet",Manga,PG-13 - Teens 13 or older,137337,359,6456,76495.0,4360,0.0,46049.0,2008.0
7.32,1488,"Action, Horror, Supernatural, Shounen",TV,12.0,2009-01-01,2009-03-26,Winter 2009,"Square Enix, Starchild Records",Funimation,"Gainax, feel.",Manga,R - 17+ (violence & profanity),67903,116,2400,39399.0,1594,0.0,23287.0,2009.0
7.32,1489,"Slice of Life, Comedy",TV,142.0,2009-04-01,2012-03-25,Spring 2009,Nihon Ad Systems,Unknown,Unknown,Manga,PG - Children,2589,28,429,546.0,384,0.0,847.0,2009.0
7.32,1490,"Comedy, Romance, School, Shounen",TV,12.0,2009-04-12,2009-06-28,Spring 2009,Shueisha,Sentai Filmworks,J.C.Staff,Manga,PG-13 - Teens 13 or older,82196,206,3879,44548.0,2539,2978.0,28252.0,2009.0
7.32,1491,"Comedy, Romance, Supernatural",TV,13.0,2009-10-05,2009-12-28,Fall 2009,"TV Tokyo Music, GANSIS",Unknown,Shaft,Manga,PG-13 - Teens 13 or older,17376,10,839,9019.0,584,466.0,6468.0,2009.0
7.32,1492,"Action, Ecchi, Magic, Military, Sci-Fi",TV,12.0,2010-07-08,2010-09-23,Summer 2010,"AIC, Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, NTT Docomo",Funimation,AIC Spirits,Original,R+ - Mild Nudity,73066,284,2478,48504.0,1564,1462.0,19058.0,2010.0
7.32,1493,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",Movie,1.0,2011-07-02,2011-07-02,Summer 2011,"Aniplex, Dentsu, Square Enix, Shochiku, Mainichi Broadcasting System, TBS",Funimation,Bones,Manga,R - 17+ (violence & profanity),150535,165,1838,115014.0,1250,745.0,31688.0,2011.0
7.32,1494,"Comedy, Music, Shounen, Supernatural",OVA,1.0,2011-09-16,2011-09-16,Summer 2011,"Geneon Universal Entertainment, Shogakukan-Shueisha Productions, Shogakukan Music & Digital Entertainment",Sentai Filmworks,Manglobe,Manga,PG-13 - Teens 13 or older,90923,105,1008,75752.0,539,345.0,13279.0,2011.0
7.32,1495,"Action, Game, Sci-Fi, Romance, School",TV,24.0,2012-04-07,2012-09-22,Spring 2012,"Genco, Rakuonsha, Warner Bros. Japan, flying DOG, ASCII Media Works",VIZ Media,Sunrise,Light novel,PG-13 - Teens 13 or older,598685,4155,27225,405638.0,20525,0.0,106536.0,2012.0
7.32,1496,"Horror, Mystery, Thriller",OVA,1.0,2012-05-26,2012-05-26,Spring 2012,Unknown,Unknown,P.A. Works,Novel,R - 17+ (violence & profanity),152735,184,1349,130704.0,744,431.0,19507.0,2012.0
7.32,1497,"Music, Slice of Life, School",TV,13.0,2012-07-01,2012-09-23,Summer 2012,"Bandai Visual, Dentsu, Sotsu, Lantis, Pony Canyon, Showgate, Good Smile Company, Infinite",Sentai Filmworks,P.A. Works,Original,PG-13 - Teens 13 or older,133495,534,7098,61813.0,4761,5590.0,54233.0,2012.0
7.32,1498,"Drama, Historical, Slice of Life",Movie,1.0,2013-11-09,2013-11-09,Fall 2013,Unknown,Unknown,Studio Colorido,Original,G - All Ages,5517,8,127,2883.0,64,49.0,2394.0,2013.0
7.32,1499,"Comedy, Romance, Shounen Ai",TV,10.0,2014-07-10,2014-09-11,Summer 2014,Kadokawa Shoten,Sentai Filmworks,J.C.Staff,Manga,PG-13 - Teens 13 or older,193013,1748,7311,149134.0,3207,6460.0,0.0,2014.0
7.32,1500,"Action, Supernatural, Romance, Fantasy, Shounen",TV,50.0,2016-04-06,2017-03-29,Spring 2016,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Avex Pictures, Shueisha",Crunchyroll,Studio Pierrot,Manga,PG-13 - Teens 13 or older,375693,2976,58450,154468.0,27953,44275.0,90547.0,2016.0
7.32,1501,"Adventure, Drama, Fantasy",Movie,1.0,2018-07-20,2018-07-20,Summer 2018,"Toho, NTT Docomo, Nippon Television Network, Kadokawa, D.N. Dream Partners, Sonilude","NYAV Post, GKIDS",Studio Chizu,Original,G - All Ages,86595,224,2018,50387.0,770,420.0,33000.0,2018.0
7.32,1502,"Comedy, Slice of Life",TV,12.0,2018-10-08,2018-12-24,Fall 2018,"Lantis, Half H.P Studio",Unknown,DLE,Web manga,PG-13 - Teens 13 or older,84659,274,9267,39834.0,4434,0.0,24691.0,2018.0
7.318840579710145,1503,"Action, Game, Adventure, Comedy, Kids, Fantasy",Movie,1.0,2020-12-25,2020-12-25,Fall 2020,"TV Tokyo, Shogakukan-Shueisha Productions, JR East Marketing & Communications",Unknown,OLM,Game,PG - Children,8116,13,89,221.0,76,21.0,7709.0,2020.0
7.31,1504,"Action, Mystery, Drama",TV,26.0,2001-04-06,2001-09-28,Spring 2001,Victor Entertainment,"ADV Films, Funimation",Bee Train,Original,PG-13 - Teens 13 or older,94112,823,4002,40796.0,5187,0.0,38662.0,2001.0
7.31,1505,"Adventure, Comedy, Mecha, Sci-Fi, Shounen",OVA,7.0,2001-09-25,2002-09-20,Summer 2001,"Bandai Visual, Bee Media, Dynamic Planning",ADV Films,Brain's Base,Manga,R+ - Mild Nudity,8274,55,260,4438.0,257,0.0,3109.0,2001.0
7.31,1506,"Adventure, Fantasy",Special,1.0,2002-10-01,2002-10-01,Fall 2002,Unknown,Unknown,Studio Ghibli,Original,G - All Ages,16812,21,302,9187.0,204,0.0,6985.0,2002.0
7.31,1507,"Action, Adventure, Kids, Drama, Fantasy",Movie,1.0,2005-07-16,2005-07-16,Summer 2005,"Shogakukan-Shueisha Productions, Studio Jack","VIZ Media, 4Kids Entertainment",OLM,Game,PG - Children,88136,143,419,83710.0,206,0.0,3569.0,2005.0
7.31,1508,"Comedy, Drama, Fantasy, Magic",TV,26.0,2005-10-07,2006-03-31,Fall 2005,"Bandai Visual, Lantis, TV Tokyo Music","Funimation, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,46018,333,1147,31335.0,1222,0.0,10716.0,2005.0
7.31,1509,"Drama, Romance, School, Shoujo Ai",TV,26.0,2006-04-04,2006-09-26,Spring 2006,"Lantis, Dwango",Media Blasters,"Madhouse, Imagin",Other,PG-13 - Teens 13 or older,113097,1885,5893,58091.0,5851,0.0,0.0,2006.0
7.31,1510,"Action, Adventure, Comedy, Drama, Sci-Fi, Shounen",Movie,1.0,2007-03-17,2007-03-17,Winter 2007,"Kadokawa Shoten, Nihon Ad Systems",Unknown,Sunrise,Unknown,PG - Children,4637,20,70,3316.0,54,74.0,1123.0,2007.0
7.31,1511,"Sports, Shounen",Special,1.0,2007-03-21,2007-03-21,Winter 2007,Unknown,Funimation,Toei Animation,Manga,R+ - Mild Nudity,42983,101,513,35499.0,312,0.0,6418.0,2007.0
7.31,1512,"Slice of Life, Comedy, Seinen",TV,12.0,2010-01-11,2010-03-29,Winter 2010,"Starchild Records, Omnibus Japan, TV Tokyo Music",Unknown,Gainax,Manga,PG-13 - Teens 13 or older,65009,181,3368,36064.0,2525,0.0,20383.0,2010.0
7.31,1513,"Harem, Comedy, Romance, Ecchi, School",TV,13.0,2011-07-08,2011-09-30,Summer 2011,"Starchild Records, Media Factory, TBS, DAX Production, PRA, RAY",Sentai Filmworks,feel.,Light novel,R+ - Mild Nudity,391433,1822,14361,287222.0,6421,0.0,75457.0,2011.0
7.31,1514,"Action, Demons, Fantasy, Shounen, Supernatural",Special,1.0,2011-10-26,2011-10-26,Fall 2011,Aniplex,Aniplex of America,A-1 Pictures,Manga,PG-13 - Teens 13 or older,109719,128,1581,87284.0,786,0.0,19642.0,2011.0
7.31,1515,"Adventure, Demons, Romance, Fantasy",TV,12.0,2013-01-05,2013-03-30,Winter 2013,"Genco, Animax",Sentai Filmworks,Arms,Light novel,PG-13 - Teens 13 or older,355361,1099,22804,212430.0,13920,16021.0,90186.0,2013.0
7.31,1516,"Drama, Mystery, Slice of Life",Movie,1.0,2015-02-20,2015-02-20,Winter 2015,"Pony Canyon, Nippon Television Network, Shogakukan",GKIDS,"Steve N' Steven, Rockwell Eyes",Original,PG-13 - Teens 13 or older,27984,143,843,10897.0,402,330.0,15512.0,2015.0
7.31,1517,"Comedy, Police, Supernatural, Vampire, Shounen",Special,9.0,2015-06-24,2015-09-26,Spring 2015,Unknown,Funimation,Wit Studio,Manga,PG-13 - Teens 13 or older,62572,228,2229,43247.0,1026,729.0,15341.0,2015.0
7.31,1518,"Comedy, Parody, Shounen",Special,4.0,2015-12-25,2016-03-30,Fall 2015,Unknown,Funimation,Wit Studio,Manga,PG-13 - Teens 13 or older,37809,70,1745,23549.0,1192,469.0,10854.0,2015.0
7.31,1519,"Action, Adventure, Magic, Fantasy",TV,12.0,2016-07-10,2016-09-25,Summer 2016,"Bandai Visual, Lantis, Bandai Namco Entertainment, Anime Consortium Japan",Funimation,ufotable,Game,PG-13 - Teens 13 or older,267050,812,21889,148708.0,9871,14516.0,72066.0,2016.0
7.31,1520,"Action, Horror, Mystery, Seinen, Supernatural",Movie,1.0,2016-09-23,2016-09-23,Summer 2016,TOHO animation,Sentai Filmworks,Polygon Pictures,Manga,R - 17+ (violence & profanity),20296,15,480,6407.0,364,0.0,12651.0,2016.0
7.31,1521,"Historical, Seinen",TV,13.0,2017-01-10,2017-04-04,Winter 2017,"TV Tokyo, TMS Entertainment, Bungeishunjuu, Jidaigeki Channel",Unknown,Studio M2,Novel,R - 17+ (violence & profanity),33930,86,3026,13746.0,1685,2906.0,12567.0,2017.0
7.31,1522,"Drama, Romance, School, Seinen",TV,12.0,2017-01-13,2017-03-31,Winter 2017,"Aniplex, Dentsu, Square Enix, Studio Hibari, Fuji TV, Kyoraku Industrial Holdings, Kansai Telecasting",Sentai Filmworks,Lerche,Manga,R+ - Mild Nudity,462466,4913,33590,264613.0,13307,0.0,126808.0,2017.0
7.31,1523,"Action, Sci-Fi, Supernatural, Magic, Romance, School",TV,13.0,2020-10-04,2020-12-27,Fall 2020,"Aniplex, Square Enix, Movic, Studio Mausu, Straight Edge, Kadokawa",Aniplex of America,8bit,Light novel,PG-13 - Teens 13 or older,197342,1209,40057,76107.0,3770,4668.0,0.0,2020.0
7.3,1524,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,13.0,1991-05-23,1992-09-24,Spring 1991,Bandai Visual,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,33687,230,977,24492.0,715,0.0,7055.0,1991.0
7.3,1525,"Adventure, Comedy, Magic, Fantasy, Shounen",Movie,1.0,1995-07-29,1995-07-29,Summer 1995,"Kadokawa Shoten, Marubeni",ADV Films,J.C.Staff,Light novel,PG-13 - Teens 13 or older,21089,32,233,16928.0,192,111.0,0.0,1995.0
7.3,1526,"Comedy, Magic, Romance, Shoujo",Special,1.0,1995-12-23,1995-12-23,Fall 1995,Unknown,VIZ Media,Toei Animation,Manga,PG-13 - Teens 13 or older,21161,22,213,16389.0,190,0.0,0.0,1995.0
7.3,1527,"Kids, Adventure, Fantasy, Magic, Comedy, Romance, School, Drama, Shoujo",TV,172.0,2002-04-06,2005-09-27,Spring 2002,Trinity Sound,VIZ Media,Studio Hibari,Manga,G - All Ages,15110,187,908,7921.0,1420,1588.0,3273.0,2002.0
7.3,1528,"Action, Drama, Sci-Fi",OVA,9.0,2003-06-03,2003-06-03,Spring 2003,Unknown,Warner Bros. Japan,"Madhouse, Studio 4°C",Other,R - 17+ (violence & profanity),64901,234,951,50553.0,588,536.0,12273.0,2003.0
7.3,1529,"Adventure, Comedy, Kids, Sci-Fi",Movie,1.0,2004-03-06,2004-03-06,Winter 2004,Unknown,Unknown,Shin-Ei Animation,Unknown,PG - Children,4212,3,47,3579.0,32,89.0,465.0,2004.0
7.3,1530,"Action, Drama, Mecha, Military, Sci-Fi",TV,25.0,2004-07-05,2004-12-27,Summer 2004,"TV Tokyo Music, King Records","Funimation, Geneon Entertainment USA",Xebec,Original,PG-13 - Teens 13 or older,40602,255,2179,16417.0,1849,0.0,18170.0,2004.0
7.3,1531,"Adventure, Comedy, Super Power, Magic, Romance, Fantasy, Shounen",TV,26.0,2005-04-05,2005-09-27,Spring 2005,"TV Tokyo, Geneon Universal Entertainment, Sotsu, Victor Entertainment","Funimation, Discotek Media, Geneon Entertainment USA",Xebec,Manga,PG-13 - Teens 13 or older,85305,497,3647,51887.0,4082,4442.0,21247.0,2005.0
7.3,1532,"Drama, Military",Movie,1.0,2008-08-02,2008-08-02,Summer 2008,Hiroshima Television,Sony Pictures Entertainment,Production I.G,Novel,PG-13 - Teens 13 or older,47267,260,851,27316.0,508,412.0,18180.0,2008.0
7.3,1533,"Action, Adventure, Historical",TV,26.0,2009-04-08,2009-09-30,Spring 2009,VAP,Unknown,Madhouse,Manga,R+ - Mild Nudity,15684,42,1296,3745.0,1005,1056.0,8582.0,2009.0
7.3,1534,"Action, Comedy, Sci-Fi",OVA,1.0,2009-07-22,2009-07-22,Summer 2009,Aniplex,Funimation,A-1 Pictures,Manga,PG-13 - Teens 13 or older,19235,18,405,12453.0,213,138.0,6026.0,2009.0
7.3,1535,Comedy,Special,2.0,2011-05-03,2011-05-27,Spring 2011,Unknown,Sentai Filmworks,Diomedéa,Unknown,G - All Ages,20197,15,260,15568.0,198,0.0,4070.0,2011.0
7.3,1536,Adventure,Movie,1.0,2011-06-06,2011-06-06,Spring 2011,Unknown,Maiden Japan,Madhouse,Unknown,G - All Ages,5102,9,113,2361.0,67,0.0,2496.0,2011.0
7.3,1537,"Action, Mystery, Comedy, Supernatural, Shounen",TV,12.0,2013-01-04,2013-03-22,Winter 2013,"Frontier Works, Media Factory, AT-X, Showgate, BIGLOBE",Sentai Filmworks,Zexcs,Manga,PG-13 - Teens 13 or older,84572,395,5188,39448.0,3597,6501.0,29838.0,2013.0
7.3,1538,"Harem, Comedy, Parody, Fantasy",TV,12.0,2013-10-04,2013-12-20,Fall 2013,"Pony Canyon, TBS, Kodansha, Movic, DAX Production",Sentai Filmworks,feel.,Light novel,PG-13 - Teens 13 or older,281505,838,14330,187402.0,7099,8685.0,63989.0,2013.0
7.3,1539,"Action, Space, Mecha",TV,12.0,2013-10-10,2013-12-27,Fall 2013,"Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Bandai, Bandai Namco Entertainment",Aniplex of America,Sunrise,Original,R - 17+ (violence & profanity),81652,223,2955,62074.0,1848,1810.0,12965.0,2013.0
7.3,1540,"Mystery, Comedy, Super Power, Drama",TV,12.0,2014-01-08,2014-03-26,Winter 2014,"TV Tokyo, Avex Entertainment, Sotsu, Movic, AT-X, DAX Production, DIVE II Entertainment, Shueisha",Sentai Filmworks,NAZ,Original,R - 17+ (violence & profanity),249144,997,14254,143323.0,9422,0.0,70308.0,2014.0
7.3,1541,"Action, Comedy, Fantasy, Magic",TV,10.0,2014-07-10,2014-09-11,Summer 2014,"Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx, Tokyo MX, Kadokawa Media House",Sentai Filmworks,SILVER LINK.,Manga,PG-13 - Teens 13 or older,124622,250,3972,87658.0,2027,2023.0,28942.0,2014.0
7.3,1542,"Adventure, Sci-Fi",TV,12.0,2015-07-05,2015-09-27,Summer 2015,Unknown,Sentai Filmworks,Tatsunoko Production,Original,PG-13 - Teens 13 or older,63861,179,3897,30963.0,3184,0.0,22419.0,2015.0
7.3,1543,"Action, Fantasy, Military, Sci-Fi",TV,13.0,2015-07-12,2016-03-26,Summer 2015,"Bandai Visual, Lantis, Anime Consortium Japan",Aniplex of America,ufotable,Game,R - 17+ (violence & profanity),426616,1856,35000,242285.0,16731,0.0,101027.0,2015.0
7.3,1544,"Comedy, Drama, Music",Special,1.0,2016-02-25,2016-02-25,Winter 2016,Unknown,Unknown,A-1 Pictures,Game,PG-13 - Teens 13 or older,6985,11,226,4140.0,84,84.0,2451.0,2016.0
7.3,1545,"Comedy, Shoujo, Slice of Life",TV,12.0,2016-04-08,2016-07-01,Spring 2016,"Kadokawa Shoten, TBS, DAX Production, Nippon Columbia, Sony Music Communications, Lawson, NichiNare",Funimation,8bit,Manga,PG-13 - Teens 13 or older,64512,258,4767,35508.0,2505,4349.0,17383.0,2016.0
7.3,1546,"Action, Military, School",TV,12.0,2016-04-10,2016-06-26,Spring 2016,"Aniplex, Half H.P Studio, Asmik Ace, Graphinica, BS11, Contents Seed, Cromea, Akatsuki",Aniplex of America,Production IMS,Original,PG-13 - Teens 13 or older,85720,708,5403,43350.0,2734,4414.0,29819.0,2016.0
7.3,1547,"Slice of Life, Comedy, Drama, Romance, Shounen Ai",TV,10.0,2017-01-12,2017-03-16,Winter 2017,"Kadokawa Shoten, Movic, AT-X, DAX Production, Nippon Columbia, KlockWorx, Sony Music Communications, Tokyo MX, Lawson HMV Entertainment, TV Saitama",Unknown,Studio Deen,Manga,PG-13 - Teens 13 or older,62690,367,3370,44772.0,1217,1785.0,0.0,2017.0
7.3,1548,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1.0,2017-03-04,2017-03-04,Winter 2017,"TV Asahi, Asatsu DK, Toho, Fujiko F. Fujio Pro, Shogakukan",Unknown,Shin-Ei Animation,Manga,PG - Children,2482,3,50,1736.0,34,0.0,583.0,2017.0
7.3,1550,"Action, Super Power, Supernatural",Movie,1.0,2018-08-04,2018-08-04,Summer 2018,Unknown,VIZ Media,GoHands,Manga,PG-13 - Teens 13 or older,17794,20,456,6333.0,294,127.0,10584.0,2018.0
7.3,1551,"Action, Sci-Fi, Mystery, Super Power, Shounen",TV,11.0,2020-01-04,2020-03-21,Winter 2020,"Aniplex, AT-X, Tokyo MX, Akita Shoten, BS11, Kanetsu Investment, CA-Cygames Anime Fund, Hochi Shimbun, ADK",Aniplex of America,Nexus,Manga,R - 17+ (violence & profanity),305455,1627,31083,184837.0,6672,0.0,67718.0,2020.0
7.29,1552,"Sci-Fi, Adventure, Space, Drama",Movie,1.0,1981-01-08,1981-01-08,Winter 1981,Unknown,Discotek Media,"Toei Animation, Studio World",Manga,PG-13 - Teens 13 or older,7294,22,183,4028.0,128,0.0,2849.0,1981.0
7.29,1553,"Drama, Fantasy, Historical, Kids, Mystery",Movie,1.0,1985-07-13,1985-07-13,Summer 1985,Unknown,"Central Park Media, Discotek Media",Group TAC,Novel,G - All Ages,16822,232,328,7745.0,178,175.0,8396.0,1985.0
7.29,1554,"Drama, Mecha, Military, Sci-Fi",OVA,1.0,1988-03-19,1988-03-19,Winter 1988,Unknown,Maiden Japan,Unknown,Original,PG-13 - Teens 13 or older,3445,6,75,2047.0,55,56.0,1212.0,1988.0
7.29,1555,"Comedy, Mecha, Police, Sci-Fi",OVA,7.0,1988-04-25,1989-06-25,Spring 1988,Tohokushinsha Film Corporation,"Central Park Media, Maiden Japan",Studio Deen,Original,PG-13 - Teens 13 or older,24762,147,1133,11428.0,658,365.0,11178.0,1988.0
7.29,1556,"Comedy, Magic, Mystery, Shounen, Supernatural",TV,26.0,2003-04-05,2003-09-27,Spring 2003,"TV Tokyo, Rakuonsha","ADV Films, Sentai Filmworks",Studio Deen,Manga,PG-13 - Teens 13 or older,33954,208,1538,18599.0,1841,0.0,9998.0,2003.0
7.29,1557,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Special,1.0,2003-04-06,2003-04-06,Spring 2003,Unknown,Unknown,Toei Animation,Manga,PG-13 - Teens 13 or older,24850,20,368,19103.0,271,186.0,4922.0,2003.0
7.29,1558,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,3.0,2004-01-21,2004-04-28,Winter 2004,Aniplex,"ADV Films, Funimation",Studio Deen,Manga,PG-13 - Teens 13 or older,11591,29,283,7309.0,208,159.0,3632.0,2004.0
7.29,1559,"Adventure, Shounen, Supernatural",Movie,1.0,2004-08-07,2004-08-07,Summer 2004,Unknown,Discotek Media,Toei Animation,Unknown,PG-13 - Teens 13 or older,7088,3,124,4892.0,103,0.0,1882.0,2004.0
7.29,1560,"Mecha, Sci-Fi, Shounen, Sports",TV,13.0,2006-05-20,2006-08-26,Spring 2006,"Bee Train, Bandai Visual","Bandai Entertainment, Discotek Media",Production I.G,Original,PG-13 - Teens 13 or older,9529,25,237,6771.0,218,183.0,2120.0,2006.0
7.29,1561,"Action, Adventure, Comedy, Fantasy, Shounen",Movie,1.0,2007-08-04,2007-08-04,Summer 2007,"TV Tokyo, Aniplex, Dentsu, Bandai, Shueisha",VIZ Media,Studio Pierrot,Manga,PG-13 - Teens 13 or older,211544,394,2172,194744.0,656,523.0,13449.0,2007.0
7.29,1562,"Action, Fantasy, Supernatural, Comedy, Drama, Shounen",TV,26.0,2008-04-07,2008-09-29,Spring 2008,"Square Enix, Kinyosha",Funimation,J.C.Staff,Manga,PG-13 - Teens 13 or older,147403,1422,9075,71346.0,9175,9962.0,47845.0,2008.0
7.29,1563,"Slice of Life, Drama, Magic, Romance, Shounen",TV,12.0,2008-07-03,2008-09-25,Summer 2008,"Geneon Universal Entertainment, TV Asahi",Sentai Filmworks,Hal Film Maker,Manga,G - All Ages,22240,63,1148,7276.0,1019,921.0,11876.0,2008.0
7.29,1564,"Action, Martial Arts, Shounen, Supernatural",Movie,1.0,2008-08-02,2008-08-02,Summer 2008,"TV Tokyo, Aniplex, Dentsu, Bandai, Toho, Studio Jack",VIZ Media,Studio Pierrot,Manga,PG-13 - Teens 13 or older,188680,278,1728,171637.0,680,500.0,14135.0,2008.0
7.29,1565,"Action, Drama, Mecha, School, Sci-Fi",TV,12.0,2009-01-12,2009-03-30,Winter 2009,Geneon Universal Entertainment,Funimation,Madhouse,Manga,PG-13 - Teens 13 or older,42283,133,1767,23727.0,1669,1897.0,13223.0,2009.0
7.29,1566,"Action, Game, Mystery, Shounen",TV,25.0,2012-04-08,2012-09-23,Spring 2012,NHK,Sentai Filmworks,Sunrise,Original,PG-13 - Teens 13 or older,43112,46,2318,26488.0,2115,1926.0,10265.0,2012.0
7.29,1567,"Supernatural, Drama, Romance, Josei",TV,11.0,2012-07-06,2012-09-14,Summer 2012,"Fuji TV, Toho, Sony Music Entertainment",Sentai Filmworks,Doga Kobo,Manga,PG-13 - Teens 13 or older,66716,227,3529,34170.0,2694,2972.0,23351.0,2012.0
7.29,1568,"Comedy, School, Sports, Shounen",Special,1.0,2012-12-21,2012-12-21,Fall 2012,Unknown,Unknown,Production I.G,Unknown,PG-13 - Teens 13 or older,38916,31,471,31598.0,284,207.0,6356.0,2012.0
